,provider,metric,value
0,Maxis,avg_lat_ms_dsl,23.32
1,TIME,avg_lat_ms_dsl,0.0
2,TM,avg_lat_ms_dsl,20.63
3,Maxis,avg_lat_ms_fibre,12.69
4,TIME,avg_lat_ms_fibre,5.91
5,TM,avg_lat_ms_fibre,14.01
6,Maxis,d>90%advertised_time_fibre,98.05
7,TIME,d>90%advertised_time_fibre,75.23
8,TM,d>90%advertised_time_fibre,99.88
9,Maxis,late<85ms_time_fibre,96.25
10,TIME,late<85ms_time_fibre,100.0
11,TM,late<85ms_time_fibre,100.0
12,Maxis,%packetloss_fibre,0.08
13,TIME,%packetloss_fibre,0.0
14,TM,%packetloss_fibre,0.0
15,Maxis,d>90%advertised_time_dsl,93.35
16,TIME,d>90%advertised_time_dsl,0.0
17,TM,d>90%advertised_time_dsl,100.0
18,Maxis,late<85ms_time_dsl,100.0
19,TIME,late<85ms_time_dsl,0.0
20,TM,late<85ms_time_dsl,100.0
