SOVEREIGNT,avg_d_kbps,avg_u_kbps,avg_lat_ms
Afghanistan,12431.238095238095,6552.285714285715,56.857142857142854
Albania,55848.070175438595,37486.42105263158,13.298245614035087
Algeria,33538.99324324324,18911.31081081081,33.00675675675676
Angola,23784.166666666668,6441.388888888889,56.44444444444444
Argentina,84404.33817427386,50011.230290456435,23.800829875518673
Armenia,62198.30952380953,51503.19047619047,7.857142857142857
Australia,100204.49186046512,19921.437209302327,37.78720930232558
Austria,93130.13157894737,30862.973684210527,19.318421052631578
Azerbaijan,44643.17857142857,39871.72142857143,15.664285714285715
Bangladesh,40827.24324324324,40999.69189189189,9.47027027027027
Belarus,72292.31677018634,50968.36024844721,23.453416149068325
Belgium,177999.47777777776,32061.477777777778,16.553333333333335
Belize,25649.833333333332,19316.5,15.166666666666666
Benin,27267.0,10733.0,11.333333333333334
Bhutan,2911.0,2936.3333333333335,30.333333333333332
Bolivia,29816.014285714286,13638.842857142858,23.47142857142857
Bosnia and Herzegovina,33607.954545454544,9405.190909090908,36.06363636363636
Botswana,15606.578947368422,14484.368421052632,55.421052631578945
Brazil,132707.3134458673,95969.5506402794,21.489231664726425
Brunei,110829.85714285714,76959.71428571429,10.0
Bulgaria,77898.4918032787,55517.83606557377,20.92622950819672
Burkina Faso,45900.0,12669.8,12.4
Burundi,,,
Cambodia,49813.038095238095,49761.31428571429,10.676190476190476
Cameroon,28320.333333333332,9752.6,152.73333333333332
Canada,197551.09801699716,101546.27422096317,33.80679886685552
Central African Republic,,,
Chad,68921.0,14450.0,99.0
Chile,246113.20192307694,188064.58173076922,22.067307692307693
China,266860.8592268417,52621.76768781911,29.50109409190372
Colombia,68177.42319749216,47433.83385579937,30.77742946708464
Costa Rica,87468.0078125,62951.953125,44.2734375
Croatia,102237.592,58869.456,17.872
Cyprus,95165.78378378379,42102.13513513513,18.64864864864865
Czechia,77432.56481481482,46331.91358024691,17.608024691358025
Democratic Republic of the Congo,120385.33333333333,6724.0,354.0
Denmark,217362.47781569965,169509.83276450512,9.143344709897612
Djibouti,,,
Dominican Republic,28306.944444444445,14267.574074074075,30.98148148148148
East Timor,60617.333333333336,12647.333333333334,384.3333333333333
Ecuador,117031.35406698564,113426.1052631579,16.526315789473685
Egypt,25943.597222222223,11970.402777777777,41.22222222222222
El Salvador,51607.583333333336,12343.1,44.9
Equatorial Guinea,160424.0,10586.0,190.0
Eritrea,,,
Estonia,122007.67441860466,100073.48837209302,10.906976744186046
Ethiopia,21041.88888888889,24820.0,24.11111111111111
Fiji,19103.285714285714,11339.0,32.57142857142857
Finland,158827.08841463414,79935.46036585367,22.503048780487806
France,262887.6481693364,193290.76487414187,26.10354691075515
Gabon,35842.42857142857,10935.714285714286,8.857142857142858
Gambia,8102.0,7974.0,70.0
Georgia,23826.136363636364,23491.25,14.522727272727273
Germany,120668.29096989967,39068.05643812709,17.41346153846154
Ghana,38950.1,24423.2,76.8
Greece,43163.90763052209,10075.0,34.11646586345382
Guatemala,47396.81443298969,19166.690721649484,45.24742268041237
Guinea,23134.666666666668,6376.0,48.0
Guinea-Bissau,,,
Guyana,93560.5,34466.5,18.0
Haiti,75861.8,24585.4,31.8
Honduras,36420.62962962963,23691.537037037036,32.51851851851852
Hungary,172911.60327868853,93605.67540983607,15.583606557377049
Iceland,239972.66666666666,196561.04761904763,15.857142857142858
India,65435.1053093462,63733.66213251426,15.88591487494515
Indonesia,24221.27641791045,18519.128358208956,19.611940298507463
Iran,26406.161458333332,13403.145833333334,48.34375
Iraq,33947.8527131783,25979.13953488372,38.64341085271318
Ireland,183437.17297297297,42412.8972972973,18.405405405405407
Italy,116428.86060279871,59389.04843918192,25.578040904198062
Ivory Coast,54256.166666666664,21352.166666666668,37.5
Jamaica,79306.26923076923,59299.096153846156,26.346153846153847
Japan,218357.39720812184,172270.46827411168,22.823604060913706
Jordan,124622.94736842105,100221.0350877193,14.333333333333334
Kenya,23750.928571428572,15443.785714285714,52.125
Kuwait,187631.1875,32299.6875,16.5625
Kyrgyzstan,47370.95744680851,51432.55319148936,16.595744680851062
Laos,67902.0,51156.09756097561,19.048780487804876
Latvia,97233.22535211267,69526.2957746479,23.281690140845072
Lebanon,32670.514705882353,13954.808823529413,22.544117647058822
Lesotho,,,
