SOVEREIGNT,avg_d_kbps,avg_u_kbps,avg_lat_ms
Afghanistan,14787.892344497608,6152.051834130782,48.39314194577352
Albania,56257.2243902439,14883.238482384824,33.09918699186992
Algeria,34189.11842398573,13683.904982166741,37.17554614355773
Angola,30763.796718322697,13218.810391978122,44.59070191431176
Argentina,40221.765573668876,10305.760242980226,44.24700923572801
Armenia,36899.61954959272,14605.201724964063,25.04408241494969
Australia,129067.85538342898,15498.631245888997,30.542289459956
Austria,102123.00146161122,21430.195984868024,30.367767173931735
Azerbaijan,51930.123300739324,16802.957548294777,29.917243024087764
Bangladesh,39121.80386461976,14622.108885069054,34.88595815304368
Belarus,20558.06343954542,9781.880385528304,38.3114435733295
Belgium,117141.90969640644,20258.895755886,31.747444237918216
Belize,19546.210161662817,8844.986143187067,33.06004618937644
Benin,45704.72422680412,20544.427835051545,31.350515463917525
Bhutan,66290.94871794872,14516.583333333334,38.09935897435897
Bolivia,18812.157213316892,11992.62993218249,51.863902589395806
Bosnia and Herzegovina,29154.55757900375,11779.693804677736,29.71719335832887
Botswana,75377.13374805599,18817.172628304823,49.78538102643857
Brazil,109806.08022670541,17039.77429717232,41.34395588656545
Brunei,100289.50638297873,32325.072340425533,56.62234042553192
Bulgaria,130831.37584323803,19673.057741728237,29.112110504336652
Burkina Faso,30989.44197530864,17425.837037037036,34.91358024691358
Burundi,11944.33125,8090.15625,32.4875
Cambodia,29151.144604810997,17774.320824742266,33.00426116838488
Cameroon,24436.73469387755,13993.72268907563,93.98799519807923
Canada,110010.89936004876,17063.94048072528,38.92895779369191
Central African Republic,5614.446808510638,1732.3829787234042,289.8510638297872
Chad,25481.558974358974,12781.794871794871,119.7025641025641
Chile,67389.21441979111,16668.408913702653,38.69576936035039
China,172882.66303865606,33907.355466169785,46.365640373448485
Colombia,22752.78754859552,11291.115972184198,50.519575097191044
Costa Rica,43390.8107670512,12954.799838089455,34.48816029143898
Croatia,117703.43594672525,20033.751201427982,30.216806261156115
Cyprus,87887.15692153924,20752.276861569215,30.984507746126937
Czechia,99728.25740600076,26866.588349791113,27.5205089251804
Democratic Republic of the Congo,24416.152323580034,10973.32099827883,68.87263339070569
Denmark,209732.5810025427,29432.793588812205,26.466854340719216
Djibouti,62800.25,4795.875,28.5
Dominican Republic,56602.54843480404,12632.894010352476,35.28247473502588
East Timor,9151.717171717171,5000.791919191919,27.81010101010101
Ecuador,32779.90006285355,13872.126335637964,37.69180808715692
Egypt,29427.93808617643,9263.399007747723,40.68485795840696
El Salvador,33256.756733768074,13019.388432095266,30.010774028919762
Equatorial Guinea,20992.65,10597.05,81.35
Eritrea,4840.0,219.0,408.0
Estonia,142091.83537093637,19236.580577938315,24.89622117254793
Ethiopia,54587.36780185759,19599.811145510837,46.89783281733746
Fiji,39432.79826086957,14895.23652173913,35.99478260869565
Finland,136955.16584735346,20102.610035173962,26.205301521379837
France,146719.5262784486,16268.22644816649,37.5124088809749
Gabon,34193.64968152866,15718.490445859872,67.76433121019109
Gambia,18888.04201680672,7686.848739495798,32.81512605042017
Georgia,47473.19399818127,14465.615944225523,33.55865413761746
Germany,96176.79259079741,19976.404146679815,33.8428406678812
Ghana,22802.939906651107,15599.039089848307,52.87397899649942
Greece,108800.99264771015,18650.998804145627,32.580565151917796
Guatemala,52628.46733238231,19151.70841654779,33.025106990014265
Guinea,16350.802197802197,9423.401098901099,87.0934065934066
Guinea-Bissau,20089.872340425532,14413.021276595744,84.72340425531915
Guyana,48326.221875,15580.05,30.090625
Haiti,19074.483028720628,10949.650130548303,40.20104438642298
Honduras,43986.621288083305,14867.131122252218,65.20632472040108
Hungary,75493.40175924575,20231.518831705303,29.4539534431647
Iceland,221466.97794928335,30796.229327453144,40.211686879823596
India,148909.9284861776,15906.488057407987,43.40361883164998
Indonesia,32272.539921184223,14857.230691790575,39.549802960559
Iran,51778.54830250395,13331.538123167156,69.62274419129258
Iraq,36277.17645824591,18095.82228283676,41.99842635333613
Ireland,73986.47272077226,13913.325634608509,31.088237397211298
Italy,92551.32489019322,15047.44444663292,39.774838654612545
Ivory Coast,33771.698318496536,17047.010880316517,42.23442136498517
Jamaica,38177.54008438819,11476.250632911393,36.50295358649789
Japan,80667.15279700914,14963.712452690852,46.798324563832736
Jordan,42171.03985813207,17875.833136294546,23.77149130214491
Kenya,45645.54920100925,13978.083543594057,52.36248948696384
Kuwait,278469.9881450488,32484.793933054392,21.67887029288703
Kyrgyzstan,41976.46738597352,14707.557135850908,36.34428641490927
Laos,36289.520665199314,16079.676938126682,37.40523355343605
Latvia,115309.59242837653,16604.977944520237,24.148476580263758
Lebanon,36757.241256969086,12131.730359858084,30.325899645210338
Lesotho,70376.32240437159,19588.256830601094,24.306010928961747
